symptom_text,risk_tier
en paati nenju vali,ER_NOW
blood vanthi romba,ER_NOW
en ponnu moochu thinaral,ER_NOW
husband nenju vali,ER_NOW
sudden vanthi,ER_NOW
sudden mayakkam pottu vizhunthen,ER_NOW
enga appaku moochu muduthe,ER_NOW
vayiru vali mayakkam,ER_NOW
en akka sudden nenju vali,ER_NOW
vanthi nonstop,ER_NOW
moochu kashdum mayakkam,ER_NOW
enga thatha sudden mayakkam,ER_NOW
en pondati continuous vanthi,ER_NOW
mayakkam varuthu,ER_NOW
moochu kashdum romba,ER_NOW
enga appa nethu irundhu vali,ER_NOW
en ponnu nenju vali,ER_NOW
vanthi romba,ER_NOW
en husband mayakkam pottu,ER_NOW
en ponnu repeat mayakkam,ER_NOW
sudden moochu thinaral,ER_NOW
en paati blood vanthi,ER_NOW
mayakkam again again,ER_NOW
en payyan severe nenju vali,ER_NOW
enga appaku sudden moochu kashdum,ER_NOW
en pondati mayakkam,ER_NOW
nenju vali udane,ER_NOW
moochu muduthe,ER_NOW
en payyan continuous vanthi,ER_NOW
sudden vizhunthutanga,ER_NOW
blood vanthi varuthu,ER_NOW
moochu vida mudiyala romba,ER_NOW
enga appa nenju vali mayakkam,ER_NOW
en pondati repeat mayakkam,ER_NOW
moochu thinaral,ER_NOW
husband romba vali,ER_NOW
nenju vali nethu irundhu,ER_NOW
en amma blood vanthi,ER_NOW
en payyan sudden nenju vali,ER_NOW
baby ku nethu rathiri irundhu romba kaichal varuthu moochu kashdum udane vanga,ER_NOW
en pregnant pondati ku sudden ah romba vali varuthu rathiri full ah,ER_NOW
chinnu paiyan ku continuous ah vomiting varuthu neram poga poga mayakkam,ER_NOW
magal ku moochu vida mudiyala ippo dhaan sudden ah,ER_NOW
baby ku high fever and body stiff aaguthu,ER_NOW
en pondati pregnant la severe bleeding varuthu udane,ER_NOW
2 years paiyan ku juram romba high ah irukku konjam kooda moochu illa,ER_NOW
wife ku pregnancy la chest pain romba severe,ER_NOW
baby ku nethu irundhu vomiting stop aagala,ER_NOW
en chinnu ponnu ku mayakkam pottu vizhundhuta,ER_NOW
pregnant sister ku sudden ah thala suthuthu fainting,ER_NOW
baby ku moochu kashtam romba heavy,ER_NOW
severe chest pain en veetu pillai ku,ER_NOW
en pondati ku rathiri full ah vomiting and stomach vali,ER_NOW
baby ku kaichal vara vara body blue aaguthu,ER_NOW
3 years magan ku continuous fits vanthuchu,ER_NOW
pregnant wife ku nenju vali romba irukku moochu kashtam,ER_NOW
en baby ku ippo dhaan sudden ah unconscious aana,ER_NOW
ponnu ku high fever and continuous crying nonstop,ER_NOW
pregnant pondati ku severe abdominal pain nethu irundhu,ER_NOW
chinnu baby ku vomiting blood varuthu udane,ER_NOW
en wife ku pregnancy complication la bleeding,ER_NOW
baby ku moochu romba fast ah poguthu,ER_NOW
magal ku mayakkam and vomiting nonstop,ER_NOW
pregnant la irukura ponnuku chest tight aaguthu,ER_NOW
en baby ku high juram and body shivering,ER_NOW
3 days ah en paiyan ku severe diarrhea and dehydration,ER_NOW
pondati ku sudden ah labor pain varuthu early ah,ER_NOW
baby ku breathing difficulty romba,ER_NOW
en chinnu ku fits vanthuchu fever oda,ER_NOW
pregnant wife ku thala vali and vision blur,ER_NOW
baby ku romba high kaichal and lethargic,ER_NOW
ponnu ku continuous vomiting and weak,ER_NOW
en wife ku pregnancy la severe back pain and bleeding spot,ER_NOW
baby ku moochu vida mudiyala ippo,ER_NOW
1 year paiyan ku sudden unconscious,ER_NOW
pregnant pondati ku romba mayakkam,ER_NOW
en magan ku chest pain and breathing issue,ER_NOW
baby ku fever illa aana moochu kashdum romba,ER_NOW
pondati ku rathiri sudden ah severe pain,ER_NOW
chinnu baby ku vomiting and loose motion heavy,ER_NOW
en pregnant sister ku fits vanthuthu,ER_NOW
baby ku body full ah rash and high fever,ER_NOW
wife ku pregnancy la heavy bleeding,ER_NOW
paiyan ku moochu romba kashtam,ER_NOW
en baby ku nethu irundhu continuous cry and fever,ER_NOW
pondati ku mayakkam pottu vizhundhanga,ER_NOW
chinnu ku severe dehydration,ER_NOW
pregnant ponnu ku stomach vali romba,ER_NOW
en baby ku breathing stop aagum pola irukku,ER_NOW
magal ku high juram and neck stiff,ER_NOW
wife ku sudden ah labor signs,ER_NOW
baby ku vomiting blood,ER_NOW
en pondati pregnant la chest heavy,ER_NOW
paiyan ku fits and high kaichal,ER_NOW
baby ku ippo sudden ah moochu illa,ER_NOW
pregnant wife ku severe headache and vomiting,ER_NOW
en chinnu ponnu ku unconscious aana,ER_NOW
baby ku romba high fever and not responding,ER_NOW
pondati ku bleeding and pain,ER_NOW
magan ku severe chest pain,ER_NOW
en baby ku continuous seizure,ER_NOW
pregnant la irukura ku sudden fainting,ER_NOW
paiyan ku moochu kashdum heavy,ER_NOW
baby ku fever oda vomiting nonstop,ER_NOW
en wife ku pregnancy complication,ER_NOW
chinnu ku body full blue and breathing issue,ER_NOW
pondati ku romba vali stomach la,ER_NOW
baby ku mayakkam and high juram,ER_NOW
en pregnant sister ku severe nenju vali,ER_NOW
baby ku nethu rathiri irundhu moochu kashtam,ER_NOW
ponnu ku continuous fits,ER_NOW
wife ku pregnancy la heavy vomiting blood,ER_NOW
en baby ku sudden ah unconscious,ER_NOW
chinnu paiyan ku severe diarrhea dehydration,ER_NOW
pregnant pondati ku thala suthuthu and pain,ER_NOW
baby ku romba cry and breathing fast,ER_NOW
en magal ku high fever and lethargic,ER_NOW
wife ku sudden bleeding,ER_NOW
baby ku moochu vida mudiyala,ER_NOW
pondati ku mayakkam pottu,ER_NOW
en paiyan ku chest pain severe,ER_NOW
baby ku fits vanthuchu,ER_NOW
pregnant wife ku abdominal vali heavy,ER_NOW
chinnu ku vomiting continuous,ER_NOW
en baby ku high kaichal body stiff,ER_NOW
pondati ku rathiri irundhu severe pain,ER_NOW
magan ku moochu kashtam,ER_NOW
baby ku sudden mayakkam,ER_NOW
en pregnant ponnu ku vision blur and headache,ER_NOW
baby ku fever illa aana moochu romba fast,ER_NOW
wife ku pregnancy la fainting,ER_NOW
chinnu ku dehydration severe,ER_NOW
en baby ku continuous cry and fever,ER_NOW
pondati ku nenju vali romba,ER_NOW
paiyan ku fits and unconscious,ER_NOW
baby ku ippo dhaan breathing difficulty,ER_NOW
en pregnant la irukura ku bleeding spot,ER_NOW
baby ku high juram and not waking,ER_NOW
wife ku severe stomach vali,ER_NOW
chinnu ponnu ku moochu kashdum,ER_NOW
en baby ku vomiting and mayakkam,ER_NOW
pondati ku labor pain early,ER_NOW
magal ku severe chest issue,ER_NOW
baby ku nethu irundhu fits,ER_NOW
en pregnant wife ku heavy headache,ER_NOW
baby ku body shivering and fever,ER_NOW
chinnu ku unconscious pola,ER_NOW
pondati ku sudden ah mayakkam,ER_NOW
en baby ku romba high kaichal,ER_NOW
wife ku pregnancy complication vali,ER_NOW
paiyan ku moochu illa,ER_NOW
baby ku continuous vomiting,ER_NOW
en pregnant ponnu ku nenju tight,ER_NOW
chinnu ku severe fever,ER_NOW
baby ku sudden fits,ER_NOW
pondati ku bleeding heavy,ER_NOW
en magan ku chest pain,ER_NOW
baby ku breathing stop pola,ER_NOW
wife ku rathiri irundhu vomiting,ER_NOW
baby ku mayakkam pottu,ER_NOW
en pregnant wife ku severe pain,ER_NOW
chinnu ku dehydration,ER_NOW
baby ku high juram,ER_NOW
pondati ku fainting,ER_NOW
en paiyan ku moochu kashtam,ER_NOW
pregnant la irukura ku abdominal vali,ER_NOW
baby ku fits vanthu,ER_NOW
en wife ku heavy bleeding,ER_NOW
chinnu ku body blue,ER_NOW
baby ku romba lethargic,ER_NOW
pondati ku chest vali,ER_NOW
en magal ku high fever,ER_NOW
baby ku sudden unconscious,ER_NOW
pregnant pondati ku mayakkam,ER_NOW
baby ku moochu heavy,ER_NOW
en wife ku labor signs,ER_NOW
chinnu ku vomiting blood,ER_NOW
baby ku severe diarrhea,ER_NOW
pondati ku thala vali severe,ER_NOW
en baby ku nethu rathiri kaichal,ER_NOW
pregnant wife ku fainting,ER_NOW
paiyan ku chest heavy,ER_NOW
baby ku continuous seizure,ER_NOW
en pondati ku stomach vali romba,ER_NOW
baby ku breathing difficulty,ER_NOW
chinnu ku high juram,ER_NOW
pregnant ponnu ku bleeding,ER_NOW
en baby ku mayakkam,ER_NOW
wife ku nenju vali,ER_NOW
magan ku fits,ER_NOW
baby ku vomiting nonstop,ER_NOW
en pondati ku sudden pain,ER_NOW
baby ku moochu kashdum,ER_NOW
pregnant wife ku severe headache,ER_NOW
chinnu ku unconscious,ER_NOW
en baby ku body stiff,ER_NOW
wife ku pregnancy la vali,ER_NOW
baby ku high kaichal,ER_NOW
pondati ku mayakkam pottu vizhundhu,ER_NOW
en paiyan ku severe chest pain,ER_NOW
baby ku sudden ah moochu illa,ER_NOW
pregnant la irukura ku heavy vomiting,ER_NOW
chinnu ku dehydration heavy,ER_NOW
en baby ku fits and fever,ER_NOW
wife ku bleeding spot,ER_NOW
baby ku romba cry and weak,ER_NOW
pondati ku labor early,ER_NOW
en magal ku moochu kashtam,ER_NOW
baby ku high fever and not responding,ER_NOW
pregnant wife ku thala suthuthu,ER_NOW
en chinnu ku severe kaichal,ER_NOW
pondati ku chest pain,ER_NOW
baby ku sudden fainting,ER_NOW
wife ku severe abdominal pain,ER_NOW
en baby ku moochu vida mudiyala,ER_NOW
pregnant ponnu ku fits,ER_NOW
paiyan ku high juram,ER_NOW
baby ku body blue aaguthu,ER_NOW
en pondati ku mayakkam,ER_NOW
chinnu ku breathing issue,ER_NOW
baby ku nethu irundhu unconscious,ER_NOW
wife ku heavy bleeding,ER_NOW
en baby ku severe chest pain,ER_NOW
pregnant wife ku sudden vali,ER_NOW
magan ku continuous fits,ER_NOW
baby ku romba high kaichal,ER_NOW
en pondati ku vomiting blood,ER_NOW
chinnu ku mayakkam,ER_NOW
wife ku pregnancy complication,ER_NOW
en baby ku sudden seizure,ER_NOW
pregnant la irukura ku severe pain,ER_NOW
baby ku fever oda moochu illa,ER_NOW
enga thathaku sudden ah moochu vida mudiyala udane vanga,ER_NOW
en paati ku nethu rathiri irundhu severe nenju vali,ER_NOW
appaku mayakkam pottu vizhunthutaru ippo dhaan,ER_NOW
fever illa aana en paati ku nenju romba valikithu,ER_NOW
enga thathaku 2 days ah heavy breathing difficulty,ER_NOW
en veetu paati ku sudden ah chest pain romba,ER_NOW
appaku continuous vomiting and mayakkam,ER_NOW
enga thathaku sugar level crash aagi unconscious,ER_NOW
paati ku moochu kashdum heavy nethu irundhu,ER_NOW
severe nenju vali en thathaku udane vanga,ER_NOW
appaku ippo dhaan sudden ah mayakkam pottu,ER_NOW
paati ku rathiri full ah vomiting blood,ER_NOW
enga thathaku BP high aagi thala vali romba,ER_NOW
en veetukararukku fits vanthuchu sugar problem oda,ER_NOW
paati ku moochu vida mudiyala sudden ah,ER_NOW
enga thathaku 3 days severe joint pain aana ippo chest tight,ER_NOW
appaku vomiting nonstop and weakness,ER_NOW
en paati ku mayakkam and body shivering nethu irundhu,ER_NOW
enga thathaku breathing kashtam romba heavy,ER_NOW
severe chestpain en paati ku,ER_NOW
appaku sudden ah unconscious aana,ER_NOW
en paati ku nenju vali romba irukku moochu kashtam,ER_NOW
enga thathaku high BP and vomiting,ER_NOW
veetu thathaku fits vanthuthu,ER_NOW
paati ku moochu fast ah poguthu and pain,ER_NOW
enga appaku nethu rathiri irundhu chest heaviness,ER_NOW
thathaku continuous vomiting blood varuthu,ER_NOW
paati ku sudden fainting ippo dhaan,ER_NOW
enga thathaku sugar level problem and mayakkam,ER_NOW
en appaku moochu kashdum romba,ER_NOW
severe nenju vali 2 days en paati ku,ER_NOW
thathaku ippo sudden ah breathing illa,ER_NOW
paati ku vomiting and mayakkam nonstop,ER_NOW
enga appaku chest pain sudden ah,ER_NOW
paati ku high BP oda moochu difficulty,ER_NOW
enga thathaku unconscious pola irukku,ER_NOW
veetukararukku severe joint pain aagi fainted,ER_NOW
en paati ku rathiri irundhu vomiting,ER_NOW
enga thathaku moochu vida mudiyala udane,ER_NOW
appaku mayakkam pottu vizhundharu,ER_NOW
paati ku nenju vali romba nethu irundhu,ER_NOW
severe breathing problem en thathaku,ER_NOW
enga paati ku sudden ah sugar crash,ER_NOW
appaku fits and high BP,ER_NOW
paati ku chest tight aaguthu,ER_NOW
enga thathaku continuous vomiting,ER_NOW
veetu paati ku moochu kashtam heavy,ER_NOW
appaku mayakkam and vomiting,ER_NOW
paati ku sudden unconscious,ER_NOW
enga thathaku nenju vali 3 days ah,ER_NOW
paati ku breathing difficulty romba,ER_NOW
appaku ippo dhaan fainting,ER_NOW
enga thathaku sugar problem oda chest pain,ER_NOW
en paati ku moochu kashdum,ER_NOW
severe chest pain en thathaku udane vanga,ER_NOW
appaku vomiting blood,ER_NOW
paati ku mayakkam pottu,ER_NOW
enga thathaku high BP sudden,ER_NOW
paati ku moochu illa pola,ER_NOW
appaku fits vanthuchu,ER_NOW
paati ku nenju vali and dizziness,ER_NOW
enga thathaku continuous seizure,ER_NOW
veetukararukku breathing stop pola,ER_NOW
paati ku rathiri irundhu vomiting,ER_NOW
enga appaku sudden mayakkam,ER_NOW
en thathaku chest pain heavy,ER_NOW
paati ku moochu kashtam nethu irundhu,ER_NOW
enga thathaku unconscious aana,ER_NOW
appaku severe nenju vali,ER_NOW
en paati ku sugar crash and fainting,ER_NOW
paati ku vomiting nonstop,ER_NOW
appaku chest heaviness,ER_NOW
enga thathaku fits with BP,ER_NOW
paati ku sudden breathing issue,ER_NOW
veetu thathaku mayakkam pottu vizhuntharu,ER_NOW
appaku nenju vali romba,ER_NOW
en paati ku moochu kashdum heavy,ER_NOW
enga thathaku vomiting blood,ER_NOW
paati ku high BP and pain,ER_NOW
appaku sudden fainting,ER_NOW
paati ku chest pain sudden ah,ER_NOW
thathaku moochu difficulty,ER_NOW
appaku mayakkam and weakness,ER_NOW
en paati ku nenju vali nethu rathiri,ER_NOW
enga thathaku breathing kashtam,ER_NOW
paati ku unconscious pola,ER_NOW
appaku severe chest pain,ER_NOW
enga paati ku sugar level problem,ER_NOW
thathaku moochu vida mudiyala,ER_NOW
paati ku vomiting and mayakkam,ER_NOW
enga appaku fits vanthu,ER_NOW
en paati ku sudden ah moochu illa,ER_NOW
thathaku nenju vali heavy,ER_NOW
appaku fainting episode,ER_NOW
paati ku breathing fast and pain,ER_NOW
enga thathaku vomiting continuous,ER_NOW
paati ku chest tight,ER_NOW
appaku mayakkam pottu,ER_NOW
enga thathaku high sugar crash,ER_NOW
severe nenju vali en thathaku,ER_NOW
appaku sudden unconscious,ER_NOW
paati ku rathiri vomiting,ER_NOW
enga thathaku breathing difficulty,ER_NOW
paati ku mayakkam,ER_NOW
appaku chest pain romba,ER_NOW
enga paati ku fits,ER_NOW
en thathaku moochu illa,ER_NOW
paati ku vomiting blood,ER_NOW
enga appaku nenju vali,ER_NOW
paati ku sudden fainting,ER_NOW
en thathaku sugar problem,ER_NOW
appaku moochu kashtam,ER_NOW
enga paati ku chest heaviness,ER_NOW
thathaku continuous vomiting,ER_NOW
en paati ku mayakkam pottu vizhuntha,ER_NOW
enga appaku breathing stop pola,ER_NOW
paati ku high BP sudden,ER_NOW
thathaku nenju vali,ER_NOW
en appaku unconscious,ER_NOW
enga paati ku moochu kashdum,ER_NOW
thathaku vomiting nonstop,ER_NOW
paati ku chest pain,ER_NOW
enga appaku fits vanthuchu,ER_NOW
paati ku sudden mayakkam,ER_NOW
thathaku breathing difficulty,ER_NOW
appaku nenju vali heavy,ER_NOW
enga paati ku sugar crash,ER_NOW
paati ku vomiting,ER_NOW
enga appaku fainting,ER_NOW
en paati ku chest tight aaguthu,ER_NOW
thathaku continuous seizure,ER_NOW
enga paati ku mayakkam,ER_NOW
en thathaku nenju vali romba,ER_NOW
paati ku breathing heavy,ER_NOW
enga appaku vomiting blood,ER_NOW
en thathaku high BP,ER_NOW
appaku chest pain,ER_NOW
thathaku moochu illa,ER_NOW
en paati ku mayakkam pottu,ER_NOW
thathaku breathing kashtam,ER_NOW
en appaku sudden fainting,ER_NOW
enga paati ku sugar problem,ER_NOW
thathaku chest heaviness,ER_NOW
paati ku moochu kashdum,ER_NOW
enga appaku vomiting,ER_NOW
paati ku unconscious,ER_NOW
thathaku nenju vali sudden,ER_NOW
appaku fits vanthu,ER_NOW
enga paati ku breathing difficulty,ER_NOW
thathaku mayakkam,ER_NOW
paati ku chest pain heavy,ER_NOW
enga appaku moochu vida mudiyala,ER_NOW
en paati ku vomiting blood,ER_NOW
thathaku high sugar,ER_NOW
appaku fainting,ER_NOW
enga paati ku nenju vali,ER_NOW
en thathaku continuous vomiting,ER_NOW
paati ku sudden ah moochu illa,ER_NOW
enga appaku chest tight,ER_NOW
en thathaku breathing kashtam,ER_NOW
thathaku unconscious pola,ER_NOW
en paati ku vomiting nonstop,ER_NOW
enga appaku moochu kashdum,ER_NOW
thathaku sugar crash,ER_NOW
en appaku chest pain,ER_NOW
enga paati ku breathing heavy,ER_NOW
thathaku mayakkam pottu,ER_NOW
paati ku nenju vali,ER_NOW
paati ku moochu vida mudiyala,ER_NOW
thathaku high BP sudden,ER_NOW
appaku unconscious,ER_NOW
thathaku fits vanthuchu,ER_NOW
thathaku moochu kashtam,ER_NOW
appaku mayakkam,ER_NOW
enga paati ku fainting,ER_NOW
en thathaku chest pain,ER_NOW
paati ku continuous vomiting,ER_NOW
enga appaku breathing difficulty,ER_NOW
paati ku sugar level problem,ER_NOW
en thathaku sudden unconscious,ER_NOW
appaku moochu illa,ER_NOW
enga paati ku nenju vali heavy,ER_NOW
enga appaku nethu rathiri irundhu sudden ah moochu vida mudiyala udane vanga,ER_NOW
pondatiku dengue juram vanthu romba kaichal um bleeding um,ER_NOW
veetukararukku paambu kadichiduchu kaalu perusu aagi mayakkam,ER_NOW
severe nenju vali ippo dhaan vanthuchu,ER_NOW
fever illa aana en appaku moochu kashdum romba,ER_NOW
3 days ah malaria juram udane hospital,ER_NOW
pesticide oosi pottu vanthi continuous ah varuthu,ER_NOW
magan working in rain snake bite aagi vizhunthan,ER_NOW
kaichal um body full ah thadippu um mayakkam,ER_NOW
pondati nenju romba valikuthu moochu sari illa,ER_NOW
sudden ah chestpain vanthu mhoochu vida mudiyala,ER_NOW
enga ammaku pesticide exposure aagi vomiting nonstop,ER_NOW
dengue symptoms romba severe platelet count low,ER_NOW
veetukarar farm la rain la velai senju juram vanthu fainting,ER_NOW
paambu kadippu kaal la bleeding um swelling um,ER_NOW
nethu irundhu severe breathing difficulty,ER_NOW
mayakkam pottu vizhunthutanga udane vanga,ER_NOW
appaku continuous vanthi um stomach pain um,ER_NOW
kachal romba high ah malaria pola irukku,ER_NOW
magalukku snake bite aagi leg full ah perusu,ER_NOW
fever illa ana moochu romba kashtam,ER_NOW
pesticide visham pottu body la rashes um mayakkam,ER_NOW
dengue juram vanthu bleeding gums um,ER_NOW
pondatiku nenju vali sudden ah vanthuchu,ER_NOW
working in heavy rain la cold aagi severe cough um breathing issue,ER_NOW
enga appa paambu kadichu hospital urgent,ER_NOW
romba mayakkam varuthu faint aagiruvom pola,ER_NOW
severe chestpain um moochu sari illa,ER_NOW
en veetukararukku malaria fever 4 days ah,ER_NOW
visham oosi pottu vanthi vanthu vizhura alavuku,ER_NOW
ponnu rain la velai senju dengue symptoms,ER_NOW
nethu rathiri irundhu moochu vida mudiyala,ER_NOW
paambu kadippu romba vali um swelling,ER_NOW
fever kachall um body pain um severe,ER_NOW
ammaku pesticide exposure aagi unconscious,ER_NOW
sudden ah mayakkam pottu ground la vizhunthan,ER_NOW
dengue la platelet drop aagi bleeding,ER_NOW
veetukarar farm la work panni juram high,ER_NOW
mhoochu kashdum romba varuthu chest tight,ER_NOW
snake bite aagi leg full ah black aagi,ER_NOW
en pondati continuous vomiting um weakness,ER_NOW
juram illa aana severe nenju vali,ER_NOW
pesticide spray panni vanthi um dizziness,ER_NOW
malaria symptoms romba severe alternate day,ER_NOW
enga appaku rain la nanainju fever vanthu breathing problem,ER_NOW
paambu kadichiduchu udane hospital poganum,ER_NOW
mayakkam varuthu pottu vizhuvom pola,ER_NOW
severe chest pain nethu irundhu,ER_NOW
en maganukku dengue high fever bleeding nose,ER_NOW
visham touch aagi body la reaction romba,ER_NOW
moochu sari illa sudden ah vanthuchu,ER_NOW
pondatiku farm accident snake bite,ER_NOW
kachal um vomiting um nonstop,ER_NOW
fever illa ana moochu kashtam romba,ER_NOW
appa pesticide la work panni ill aana,ER_NOW
dengue pola irukku severe body pain,ER_NOW
sudden ah faint aagi vizhunthanga,ER_NOW
paambu kadippu kaal vali romba,ER_NOW
veetukararukku chest tight aagi moochu problem,ER_NOW
malaria juram vanthu unconscious aana alavu,ER_NOW
working in rain la cold aagi severe symptoms,ER_NOW
ammaku vanthi continuous ah varuthu,ER_NOW
snake bite aagi full body swelling,ER_NOW
nethu rathiri irundhu juram high,ER_NOW
pesticide exposure aagi dizziness um vomiting,ER_NOW
severe nenju vali um breathing difficulty,ER_NOW
ponnukku mayakkam pottu vizhura,ER_NOW
dengue fever um bleeding gums,ER_NOW
enga appaku moochu vida mudiyala ippo,ER_NOW
farm la rain la velai senju paambu bite,ER_NOW
kachall romba varuthu malaria symptoms,ER_NOW
pondati nenju vali romba severe,ER_NOW
visham pottu body full ah rashes,ER_NOW
sudden chestpain vanthu hospital urgent,ER_NOW
maganukku breathing issue romba,ER_NOW
paambu kadichu leg perusu aagi,ER_NOW
fever illa aana moochu kashdum,ER_NOW
continuous vomiting um mayakkam,ER_NOW
dengue la severe weakness vanthuchu,ER_NOW
veetukarar rain la nanainju juram,ER_NOW
snake bite symptoms romba dangerous,ER_NOW
pesticide oosi aagi vanthi nonstop,ER_NOW
mayakkam varuthu pottu vizhunthutaru,ER_NOW
enga ammaku severe chest pain,ER_NOW
malaria fever high ah irukku,ER_NOW
moochu sari illa nethu irundhu,ER_NOW
appa farm la work panni snake kadippu,ER_NOW
juram um body pain um severe,ER_NOW
en pondatiku pesticide reaction romba,ER_NOW
sudden ah faint aana situation,ER_NOW
dengue symptoms bleeding um high fever,ER_NOW
kachal illa aana moochu problem,ER_NOW
paambu bite aagi full swelling,ER_NOW
magalukku vanthi continuous,ER_NOW
severe nenju vali um mayakkam,ER_NOW
working rain la cold severe aagi,ER_NOW
en veetukararukku breathing difficulty,ER_NOW
visham touch panni reaction,ER_NOW
nethu rathiri moochu kashtam,ER_NOW
enga appaku malaria pola severe,ER_NOW
snake bite kaal la romba vali,ER_NOW
fever vanthu vomiting nonstop,ER_NOW
pondati chest pain sudden,ER_NOW
pesticide la ill aagi dizziness,ER_NOW
dengue high fever um bleeding,ER_NOW
mayakkam pottu vizhura alavu,ER_NOW
amma moochu vida mudiyala,ER_NOW
farm accident paambu kadichiduchu,ER_NOW
severe chestpain romba varuthu,ER_NOW
juram illa ana breathing issue,ER_NOW
appa pesticide exposure,ER_NOW
continuous vanthi um weakness,ER_NOW
malaria symptoms romba high,ER_NOW
snake bite full body reaction,ER_NOW
